time	u0	u1	u2	u3	u4	u5	u6	u7	t0	t1	t2	t3	tgpu	clf0	clf4	v	a	w		
511049682.2	0	1	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.017	0.828	4.16		
511049682.6	0	1	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.009	0.758	3.794		
511049683	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.759	3.802		
511049683.4	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.009	0.756	3.786		
511049683.8	0	1	0	0	0.2	0.125	0	0	59	59	61	61	57	1400000	1900000	5.009	0.757	3.794		
511049684.2	0	1	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.017	0.889	4.466		
511049684.6	0	1	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.768	3.851		
511049684.9	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.014	0.758	3.805		
511049685.3	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.761	3.813		
511049685.7	0	1	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.78	3.912		
511049686.1	0	1	0	0	0	0	0	0	60	59	62	63	58	1400000	1900000	5.011	0.76	3.809		
511049686.5	0	1	0	0	0	0	0	0	59	59	62	62	58	1400000	1900000	5.01	0.766	3.84		
511049686.9	0	1	0	0	0.111111111	0	0	0.090909091	59	59	61	62	57	1400000	1900000	5.009	0.779	3.809		
511049687.3	0	1	0	0	0	0	0	0	59	59	61	62	58	1400000	1900000	5.012	0.763	3.825		
511049687.6	0	1	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.788	3.954		
511049688	0	1	0	0	0.416666667	0.444444444	0	0	59	59	61	61	57	1400000	1900000	5.015	0.821	4.118		
511049688.3	0	1	0	0	0	0.2	0	0	59	59	62	62	58	1400000	1900000	5.015	0.821	4.118		
511049688.8	0	1	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.012	0.785	3.935		
511049689.1	0	1	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.76	3.813		
